模组,配方ID,产物,数量,机器,原料,附加参数,饥饿值,饱和度,效果(buff),UNITE状态,备注
农夫乐事,green_hanging_canvas_sign.json,悬挂式绿色粗布告示牌(farmersdelight:green_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 绿色染料(#c:dyes/green),,,,,原始,
农夫乐事,blue_hanging_canvas_sign.json,悬挂式蓝色粗布告示牌(farmersdelight:blue_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 蓝色染料(#c:dyes/blue),,,,,原始,
农夫乐事,cyan_hanging_canvas_sign.json,悬挂式青色粗布告示牌(farmersdelight:cyan_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 青色染料(#c:dyes/cyan),,,,,原始,
农夫乐事,lime_hanging_canvas_sign.json,悬挂式黄绿色粗布告示牌(farmersdelight:lime_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 黄绿色染料(#c:dyes/lime),,,,,原始,
农夫乐事,yellow_hanging_canvas_sign.json,悬挂式黄色粗布告示牌(farmersdelight:yellow_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 黄色染料(#c:dyes/yellow),,,,,原始,
农夫乐事,black_hanging_canvas_sign.json,悬挂式黑色粗布告示牌(farmersdelight:black_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 黑色染料(#c:dyes/black),,,,,原始,
农夫乐事,lead_from_straw.json,拴绳(minecraft:lead),1,工作台,草秆(farmersdelight:straw)×5,,,,,原始,
万花筒烹饪,enamel_basin.json,搪瓷盆子(kaleidoscope_cookery:enamel_basin),1,工作台,石按钮(minecraft:stone_button) + 重型测重压力板(minecraft:heavy_weighted_pressure_plate) + 桶(minecraft:bucket),,,,,原始(统一基准),
万花筒烹饪,shawarma_spit.json,旋风烤肉塔(kaleidoscope_cookery:shawarma_spit),1,工作台,锁链(minecraft:chain)×4 + 营火(minecraft:campfire)×2,,,,,原始(统一基准),
农夫乐事,organic_compost_from_rotten_flesh.json,有机堆肥(farmersdelight:organic_compost),1,工作台,泥土(minecraft:dirt) + 腐肉(minecraft:rotten_flesh) + 腐肉(minecraft:rotten_flesh) + 草秆(farmersdelight:straw) + 草秆(farmersdelight:straw) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal),,,,,原始,
农夫乐事,organic_compost_from_tree_bark.json,有机堆肥(farmersdelight:organic_compost),1,工作台,泥土(minecraft:dirt) + 草秆(farmersdelight:straw) + 草秆(farmersdelight:straw) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal) + 树皮(farmersdelight:tree_bark) + 树皮(farmersdelight:tree_bark) + 树皮(farmersdelight:tree_bark) + 树皮(farmersdelight:tree_bark),,,,,原始,
农夫乐事,wooden_basket.json,木篮(farmersdelight:wooden_basket),1,工作台,木棍(minecraft:stick)×4 + 粗布(farmersdelight:canvas)×3,,,,,原始,
万花筒烹饪,end_style_sashimi.json,末地风味刺身(kaleidoscope_cookery:end_style_sashimi),1,工作台,紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),,16,6.0,芥末 5分,原始(统一基准),
万花筒烹饪,fruit_basket.json,果篮(kaleidoscope_cookery:fruit_basket),1,工作台,木棍(minecraft:stick) + 木板(#minecraft:planks)×5 + 箱子(minecraft:chest),,,,,原始(统一基准),
农夫乐事,brown_canvas_sign.json,棕色粗布告示牌(farmersdelight:brown_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 棕色染料(#c:dyes/brown),,,,,原始,
农夫乐事,tatami.json,榻榻米方块(farmersdelight:tatami),2,工作台,粗布(farmersdelight:canvas)×2 + 草秆(farmersdelight:straw)×2,,,,,原始,
农夫乐事,tatami_block_from_full.json,榻榻米方块(farmersdelight:tatami),1,工作台,长榻榻米垫(farmersdelight:full_tatami_mat) + 长榻榻米垫(farmersdelight:full_tatami_mat),,,,,原始,
万花筒烹饪,recipe_item.json,模组占位物品(kaleidoscope_cookery:recipe_item),1,工作台,纸(minecraft:paper)×4,,,,,原始(统一基准),
万花筒烹饪,cook_stool_cherry.json,樱花木厨娘凳(kaleidoscope_cookery:cook_stool_cherry),1,工作台,樱花木板(minecraft:cherry_planks)×5,,,,,原始(统一基准),
万花筒烹饪,chair_cherry.json,樱花木椅子(kaleidoscope_cookery:chair_cherry),1,工作台,樱花木栅栏(minecraft:cherry_fence)×3 + 樱花木台阶(minecraft:cherry_slab)×3,,,,,原始(统一基准),
农夫乐事,cherry_cabinet.json,樱花木橱柜(farmersdelight:cherry_cabinet),1,工作台,樱花木台阶(minecraft:cherry_slab)×6 + 樱花木活板门(minecraft:cherry_trapdoor)×2,,,,,原始,
万花筒烹饪,table_cherry.json,樱花木餐桌(kaleidoscope_cookery:table_cherry),1,工作台,樱花木台阶(minecraft:cherry_slab)×3 + 樱花木栅栏(minecraft:cherry_fence)×2,,,,,原始(统一基准),
农夫乐事,orange_canvas_sign.json,橙色粗布告示牌(farmersdelight:orange_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 橙色染料(#c:dyes/orange),,,,,原始,
万花筒烹饪,cook_stool_oak.json,橡木厨娘凳(kaleidoscope_cookery:cook_stool_oak),1,工作台,橡木木板(minecraft:oak_planks)×5,,,,,原始(统一基准),
万花筒烹饪,chair_oak.json,橡木椅子(kaleidoscope_cookery:chair_oak),1,工作台,橡木栅栏(minecraft:oak_fence)×3 + 橡木台阶(minecraft:oak_slab)×3,,,,,原始(统一基准),
农夫乐事,oak_cabinet.json,橡木橱柜(farmersdelight:oak_cabinet),1,工作台,橡木台阶(minecraft:oak_slab)×6 + 橡木活板门(minecraft:oak_trapdoor)×2,,,,,原始,
万花筒烹饪,table_oak.json,橡木餐桌(kaleidoscope_cookery:table_oak),1,工作台,橡木台阶(minecraft:oak_slab)×3 + 橡木栅栏(minecraft:oak_fence)×2,,,,,原始(统一基准),
农夫乐事,fruit_salad.json,水果沙拉(farmersdelight:fruit_salad),1,工作台,苹果(minecraft:apple) + 西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 浆果(#c:foods/berry) + 浆果(#c:foods/berry) + 南瓜片(farmersdelight:pumpkin_slice) + 碗(minecraft:bowl),,6,7.2,生命恢复 5秒,原始,
农夫乐事,hamburger.json,汉堡包(farmersdelight:hamburger),1,工作台,面包(#c:foods/bread) + 牛肉饼(farmersdelight:beef_patty) + 绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato) + 洋葱(#c:crops/onion),,11,17.6,,原始,
万花筒烹饪,stockpot.json,汤锅(kaleidoscope_cookery:stockpot),1,工作台,红砖(minecraft:brick)×2 + 铁锭(#c:ingots/iron)×5,,,,,原始(统一基准),
万花筒烹饪,stockpot_lid.json,汤锅盖(kaleidoscope_cookery:stockpot_lid),1,工作台,红砖(minecraft:brick) + 铁锭(#c:ingots/iron)×3,,,,,原始(统一基准),
万花筒烹饪,desert_style_sashimi.json,沙漠风味刺身(kaleidoscope_cookery:desert_style_sashimi),1,工作台,仙人掌(minecraft:cactus) + 仙人掌(minecraft:cactus) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),,16,6.0,芥末 5分,原始(统一基准),
万花筒烹饪,oil_pot.json,油壶(kaleidoscope_cookery:oil_pot),1,工作台,重型测重压力板(minecraft:heavy_weighted_pressure_plate) + 桶(minecraft:bucket) + 木棍(minecraft:stick),,,,,原始(统一基准),
万花筒烹饪,oil.json,油脂(kaleidoscope_cookery:oil),9,工作台,油脂块(kaleidoscope_cookery:oil_block),,,,,原始(统一基准),
万花筒烹饪,oil_block.json,油脂块(kaleidoscope_cookery:oil_block),1,工作台,油脂(kaleidoscope_cookery:oil)×9,,,,,原始(统一基准),
农夫乐事,packed_mud_from_straw.json,泥坯(minecraft:packed_mud),2,工作台,草秆(farmersdelight:straw) + 泥巴(minecraft:mud) + 泥巴(minecraft:mud),,,,,原始,
农夫乐事,onion.json,洋葱(farmersdelight:onion),9,工作台,箱装洋葱(farmersdelight:onion_crate),,2,1.6,,原始,
万花筒烹饪,berry_platter.json,浆果拼盘(kaleidoscope_cookery:berry_platter),1,工作台,甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 发光浆果(minecraft:glow_berries) + 发光浆果(minecraft:glow_berries) + 发光浆果(minecraft:glow_berries) + 发光浆果(minecraft:glow_berries) + 碗(minecraft:bowl),,,,,原始(统一基准),
农夫乐事,kelp_roll.json,海带寿司卷(farmersdelight:kelp_roll),1,工作台,米饭(kaleidoscope_cookery:cooked_rice)×2 + 胡萝卜(minecraft:carrot) + 干海带(minecraft:dried_kelp)×3,,12,288.0,,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,light_gray_canvas_sign.json,淡灰色粗布告示牌(farmersdelight:light_gray_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 淡灰色染料(#c:dyes/light_gray),,,,,原始,
农夫乐事,light_blue_canvas_sign.json,淡蓝色粗布告示牌(farmersdelight:light_blue_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 淡蓝色染料(#c:dyes/light_blue),,,,,原始,
万花筒烹饪,cook_stool_dark_oak.json,深色橡木厨娘凳(kaleidoscope_cookery:cook_stool_dark_oak),1,工作台,深色橡木木板(minecraft:dark_oak_planks)×5,,,,,原始(统一基准),
万花筒烹饪,chair_dark_oak.json,深色橡木椅子(kaleidoscope_cookery:chair_dark_oak),1,工作台,深色橡木栅栏(minecraft:dark_oak_fence)×3 + 深色橡木台阶(minecraft:dark_oak_slab)×3,,,,,原始(统一基准),
农夫乐事,dark_oak_cabinet.json,深色橡木橱柜(farmersdelight:dark_oak_cabinet),1,工作台,深色橡木台阶(minecraft:dark_oak_slab)×6 + 深色橡木活板门(minecraft:dark_oak_trapdoor)×2,,,,,原始,
万花筒烹饪,table_dark_oak.json,深色橡木餐桌(kaleidoscope_cookery:table_dark_oak),1,工作台,深色橡木台阶(minecraft:dark_oak_slab)×3 + 深色橡木栅栏(minecraft:dark_oak_fence)×2,,,,,原始(统一基准),
农夫乐事,mixed_salad.json,混合沙拉(farmersdelight:mixed_salad),1,工作台,绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato) + 甜菜根(#c:crops/beetroot) + 碗(minecraft:bowl),,6,7.2,生命恢复 5秒,原始,
农夫乐事,gray_canvas_sign.json,灰色粗布告示牌(farmersdelight:gray_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 灰色染料(#c:dyes/gray),,,,,原始,
农夫乐事,stove.json,炉灶(farmersdelight:stove),1,工作台,铁锭(#c:ingots/iron)×3 + 红砖块(minecraft:bricks)×4 + 营火(minecraft:campfire),,,,,原始,
万花筒烹饪,stove_campfire.json,炉灶(kaleidoscope_cookery:stove),1,工作台,圆石(#c:cobblestones)×8 + 营火(minecraft:campfire),,,,,原始(统一基准),
万花筒烹饪,stove_soul_campfire.json,炉灶(kaleidoscope_cookery:stove),1,工作台,圆石(#c:cobblestones)×8 + 灵魂营火(minecraft:soul_campfire),,,,,原始(统一基准),
万花筒烹饪,pot.json,炒锅(kaleidoscope_cookery:pot),1,工作台,铁锭(#c:ingots/iron)×7,,,,,原始(统一基准),
农夫乐事,roasted_mutton_chops.json,烤羊排(farmersdelight:roasted_mutton_chops),1,工作台,熟羊排(kaleidoscope_cookery:cooked_lamb_chops) + 甜菜根(minecraft:beetroot) + 碗(minecraft:bowl) + 米饭(kaleidoscope_cookery:cooked_rice) + 番茄(#c:crops/tomato),,14,21.0,营养 5分,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,roast_chicken_block.json,烤鸡(farmersdelight:roast_chicken_block),1,工作台,洋葱(#c:crops/onion) + 蛋(#c:eggs) + 面包(#c:foods/bread) + 胡萝卜(#c:crops/carrot) + 熟鸡肉(minecraft:cooked_chicken) + 烤马铃薯(minecraft:baked_potato) + 胡萝卜(#c:crops/carrot) + 碗(minecraft:bowl) + 烤马铃薯(minecraft:baked_potato),,,,,原始,
农夫乐事,barbecue_stick.json,烧烤串(farmersdelight:barbecue_stick),1,工作台,番茄(#c:crops/tomato) + 洋葱(#c:crops/onion) + 熟肉(#c:foods/cooked_meat) + 木棍(minecraft:stick),,8,14.4,,原始,
农夫乐事,skillet.json,煎锅(farmersdelight:skillet),1,工作台,铁锭(#c:ingots/iron)×4 + 红砖(minecraft:brick),,,,,原始,
农夫乐事,flint_knife.json,燧石刀(farmersdelight:flint_knife),1,工作台,燧石(minecraft:flint) + 木棍(minecraft:stick),,,,,原始,
农夫乐事,steak_and_potatoes.json,牛排配马铃薯(farmersdelight:steak_and_potatoes),1,工作台,烤马铃薯(minecraft:baked_potato) + 牛排(minecraft:cooked_beef) + 碗(minecraft:bowl) + 洋葱(#c:crops/onion) + 米饭(kaleidoscope_cookery:cooked_rice),,12,19.2,营养 3分,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,shepherds_pie_block.json,牧羊人派(farmersdelight:shepherds_pie_block),1,工作台,烤马铃薯(minecraft:baked_potato) + 奶(#c:drinks/milk) + 烤马铃薯(minecraft:baked_potato) + 熟羊肉(#c:foods/cooked_mutton) + 熟羊肉(#c:foods/cooked_mutton) + 熟羊肉(#c:foods/cooked_mutton) + 洋葱(#c:crops/onion) + 碗(minecraft:bowl) + 洋葱(#c:crops/onion),,,,,原始,
农夫乐事,sweet_berry_cookie.json,甜浆果曲奇(farmersdelight:sweet_berry_cookie),8,工作台,甜浆果(minecraft:sweet_berries) + 小麦(#c:crops/wheat) + 小麦(#c:crops/wheat),,,,,原始,
农夫乐事,sweet_berry_cheesecake.json,甜浆果芝士派(farmersdelight:sweet_berry_cheesecake),1,工作台,甜浆果(minecraft:sweet_berries)×6 + 奶(#c:drinks/milk)×2 + 馅饼酥皮(farmersdelight:pie_crust),,,,,原始,
农夫乐事,sweet_berry_cheesecake_from_slices.json,甜浆果芝士派(farmersdelight:sweet_berry_cheesecake),1,工作台,甜浆果芝士派切片(farmersdelight:sweet_berry_cheesecake_slice)×4,,,,,原始,
农夫乐事,beetroot_from_crate.json,甜菜根(minecraft:beetroot),9,工作台,箱装甜菜根(farmersdelight:beetroot_crate),,,,,原始,
万花筒烹饪,raw_meatball.json,生丸子(kaleidoscope_cookery:raw_meatball),1,工作台,生肉(#c:raw_meats) + 生肉(#c:raw_meats) + 蔬菜(#c:vegetables),,4,2.4,,原始(统一基准),
万花筒烹饪,raw_bamboo_tube_rice.json,生竹筒饭(kaleidoscope_cookery:raw_bamboo_tube_rice),1,工作台,竹子(minecraft:bamboo) + 稻米(#c:grain/rice) + 生肉(#c:raw_meats),,10,10.0,,原始(统一基准),
万花筒烹饪,raw_zongzi.json,生粽子(kaleidoscope_cookery:raw_zongzi),1,工作台,稻米(kaleidoscope_cookery:rice) + 睡莲(minecraft:lily_pad),,,,,原始(统一基准),
农夫乐事,wheat_dough_from_egg.json,生面团(kaleidoscope_cookery:raw_dough),3,工作台,面粉(kaleidoscope_cookery:flour) + 面粉(kaleidoscope_cookery:flour) + 面粉(kaleidoscope_cookery:flour) + 蛋(#c:eggs),,,,,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,painting_from_canvas.json,画(minecraft:painting),1,工作台,木棍(minecraft:stick)×8 + 粗布(farmersdelight:canvas),,,,,原始,
农夫乐事,tomato.json,番茄(kaleidoscope_cookery:tomato),9,工作台,箱装番茄(farmersdelight:tomato_crate),,2,2.0,,已修改(UNITE),原料/产物已统一为万花筒物品
万花筒烹饪,tomato_platter.json,番茄拼盘(kaleidoscope_cookery:tomato_platter),1,工作台,番茄(kaleidoscope_cookery:tomato) + 番茄(kaleidoscope_cookery:tomato) + 番茄(kaleidoscope_cookery:tomato) + 番茄(kaleidoscope_cookery:tomato) + 番茄(kaleidoscope_cookery:tomato) + 碗(minecraft:bowl),,,,,原始(统一基准),
农夫乐事,tomato_seeds.json,番茄种子(kaleidoscope_cookery:tomato_seed),1,工作台,烂番茄(farmersdelight:rotten_tomato),,,,,已修改(UNITE),原料/产物已统一为万花筒物品
万花筒烹饪,tomato_seed.json,番茄种子(kaleidoscope_cookery:tomato_seed),1,工作台,番茄(kaleidoscope_cookery:tomato),,,,,原始(统一基准),
万花筒烹饪,cook_stool_birch.json,白桦木厨娘凳(kaleidoscope_cookery:cook_stool_birch),1,工作台,白桦木板(minecraft:birch_planks)×5,,,,,原始(统一基准),
万花筒烹饪,chair_birch.json,白桦木椅子(kaleidoscope_cookery:chair_birch),1,工作台,白桦木栅栏(minecraft:birch_fence)×3 + 白桦木台阶(minecraft:birch_slab)×3,,,,,原始(统一基准),
农夫乐事,birch_cabinet.json,白桦木橱柜(farmersdelight:birch_cabinet),1,工作台,白桦木台阶(minecraft:birch_slab)×6 + 白桦木活板门(minecraft:birch_trapdoor)×2,,,,,原始,
万花筒烹饪,table_birch.json,白桦木餐桌(kaleidoscope_cookery:table_birch),1,工作台,白桦木台阶(minecraft:birch_slab)×3 + 白桦木栅栏(minecraft:birch_fence)×2,,,,,原始(统一基准),
农夫乐事,white_canvas_sign.json,白色粗布告示牌(farmersdelight:white_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 白色染料(#c:dyes/white),,,,,原始,
农夫乐事,half_tatami_mat.json,短榻榻米垫(farmersdelight:half_tatami_mat),2,工作台,长榻榻米垫(farmersdelight:full_tatami_mat),,,,,原始,
万花筒烹饪,millstone.json,石磨(kaleidoscope_cookery:millstone),1,工作台,木栅栏(#c:fences/wooden) + 木棍(minecraft:stick) + 砂轮(minecraft:grindstone) + 平滑石头(minecraft:smooth_stone)×3,,,,,原始(统一基准),
农夫乐事,cutting_board.json,砧板(farmersdelight:cutting_board),1,工作台,木棍(minecraft:stick)×2 + 木板(#minecraft:planks)×4,,,,,原始,
农夫乐事,rice_panicle.json,稻穗(kaleidoscope_cookery:rice_panicle),9,工作台,稻穗捆(farmersdelight:rice_bale),,,,,已修改(UNITE),原料/产物已统一为万花筒物品
万花筒烹饪,rice_panicle.json,稻穗(kaleidoscope_cookery:rice_panicle),9,工作台,稻草捆(kaleidoscope_cookery:straw_block),,,,,原始(统一基准),
农夫乐事,rice_bale.json,稻穗捆(farmersdelight:rice_bale),1,工作台,稻穗(kaleidoscope_cookery:rice_panicle)×9,,,,,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,rice_from_bag.json,稻米(kaleidoscope_cookery:rice),9,工作台,袋装稻米(farmersdelight:rice_bag),,,,,已修改(UNITE),原料/产物已统一为万花筒物品
万花筒烹饪,scarecrow.json,稻草人(kaleidoscope_cookery:scarecrow),1,工作台,草帽(#kaleidoscope_cookery:straw_hat) + 木棍(minecraft:stick)×2 + 南瓜(minecraft:pumpkin) + 稻草捆(#kaleidoscope_cookery:straw_bale),,,,,原始(统一基准),
万花筒烹饪,straw_block.json,稻草捆(kaleidoscope_cookery:straw_block),1,工作台,稻穗(kaleidoscope_cookery:rice_panicle)×9,,,,,原始(统一基准),
万花筒烹饪,empty_cup.json,空茶杯(kaleidoscope_cookery:empty_cup),1,工作台,花盆(minecraft:flower_pot),,,,,原始(统一基准),
万花筒烹饪,cook_stool_bamboo.json,竹厨娘凳(kaleidoscope_cookery:cook_stool_bamboo),1,工作台,竹块(minecraft:bamboo_block)×5,,,,,原始(统一基准),
万花筒烹饪,chair_bamboo.json,竹椅子(kaleidoscope_cookery:chair_bamboo),1,工作台,竹块(minecraft:bamboo_block)×3 + 竹台阶(minecraft:bamboo_slab)×3,,,,,原始(统一基准),
农夫乐事,bamboo_cabinet.json,竹橱柜(farmersdelight:bamboo_cabinet),1,工作台,竹台阶(minecraft:bamboo_slab)×6 + 竹活板门(minecraft:bamboo_trapdoor)×2,,,,,原始,
农夫乐事,bamboo_basket.json,竹篮(farmersdelight:bamboo_basket),1,工作台,竹子(minecraft:bamboo)×4 + 粗布(farmersdelight:canvas)×3,,,,,原始,
万花筒烹饪,table_bamboo.json,竹餐桌(kaleidoscope_cookery:table_bamboo),1,工作台,竹台阶(minecraft:bamboo_slab)×3 + 竹块(minecraft:bamboo_block)×2,,,,,原始(统一基准),
农夫乐事,cabbage_crate.json,箱装卷心菜(farmersdelight:cabbage_crate),1,工作台,卷心菜(farmersdelight:cabbage)×9,,,,,原始,
农夫乐事,onion_crate.json,箱装洋葱(farmersdelight:onion_crate),1,工作台,洋葱(farmersdelight:onion)×9,,,,,原始,
